Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
1,780001,LEASE SALES 40 & 45,Formal,,"ESA-S7, Formal",,,,,1978-03-27,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,R Roe
2,780002,"LEASE SALES 51, 58, & 65",Formal,,"ESA-S7, Formal",,,,,1978-06-30,,,,,,"Turtle, green sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,P O'neil
3,780003,LEASE SALE 42,Formal,,"ESA-S7, Formal",,,,,1978-06-30,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,ATLANTIC OCEAN,,,NER,,,,,P O'neil
4,780005,OCS OIL & GAS LEASING,Formal,,"ESA-S7, Formal",,,,,1978-08-25,,,,,,"Whale, gray",Eastern North Pacific,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,T Loughlin
5,780006,PITTSTON COMPANY OIL REFINERY CONSTRUCTION,Formal,,"ESA-S7, Formal",,,,,1978-11-15,,,,,,"Whale, humpback",Western North Atlantic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"EASTPORT, MAINE",,,NER,,,,,T Loughlin
6,790001,OCEAN DUMPING OF SEWAGE SLUDGE,Formal,,"ESA-S7, Formal",,,,,1979-01-17,,,,,,"Turtle, olive ridley sea",Mexican Breeding Population,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,COASTS OF THE U.S.,,,FPR,"Silver Spring, MD",,,,"Loughlin, T."
7,790002,HARRY S TRUMAN AIRPORT RUNWAY EXPANSION,Formal,,"ESA-S7, Formal",,,,,1979-02-01,,,,,,"Turtle, hawksbill sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"ST. THOMAS, U.S. VIRGIN ISLANDS",,,SER,,,,,M Haines
8,790003,SHIP MOVEMENTS IN THE PORT CANAVERAL CHANNEL,Formal,,"ESA-S7, Formal",,,,,1979-03-08,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"PORT CANAVERAL, FLORIDA",,,SER,,,,,L Haines
9,790004,Fishery Management Council - Stone Crab,Formal,Completed,"ESA-S7, Formal",,,,,1979-03-13,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Gulf of Mexico,,,FPR,"Silver Spring, MD",,,,"Haines, L."
10,790005,OCS OIL & GAS LEASING,Formal,,"ESA-S7, Formal",,,,,1979-03-29,,,,,,"Turtle, hawksbill sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,T Loughlin
