"OLD DATA, NO SPECIES INFORMATION (8326 unique Tracking Numbers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Only Includes Regions 'WCR', 'SWR', & 'SER'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Applicant Name,Action Agency Unique Id,Designated Non Federal Representative,Common Name,Population Name,,,,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,,,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,,,AUTHORITY,Category of Activity,Subcateogry,HABITAT,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead,Date Notification Received ,NMFS Approved
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Northwest Atlantic Ocean,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Range-wide,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,U.S. DPS,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,"Coral, staghorn",,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,"Coral, elkhorn",,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Atlantic/Caribbean,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Atlantic/Caribbean,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Atlantic/Caribbean,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
SER-2016-17655,ESA Section 7 Consultation on Florida Fish and Wildlife Conservation Commission's Request to Amend and Renew ESA Section 6 Cooperative Agreement,Informal,Completed,"ESA-S7, Informal",,"Sep 18, 2015 12:00:00 AM",2015-09-18,2015-10-17,2016-02-05,,,,National Marine Fisheries Service,Southeast Region,,,,,Atlantic/Caribbean,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,May Affect - Not Likely to Adversely Affect,,,,,Florida,NOT ENTERED,,,,Florida coastal waters,,,,,,,,,SER,"St. Petersburg, FL ",Protected Resources Division,,,"Reece, Karla",,
