NMFS.Tracking.Number,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.,Common.Name,Population.Name
NWR-1997-1308,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,"Trout, cutthroat",Umpqua River DPS
NER-2012-1183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Sturgeon, Atlantic",Carolina DPS
NER-2012-1183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Sturgeon, Atlantic",Chesapeake Bay DPS
NER-2012-1183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Sturgeon, Atlantic",Gulf of Maine DPS
NER-2012-1183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Sturgeon, Atlantic",New York Bight DPS
NER-2012-1183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Sturgeon, Atlantic",South Atlantic DPS
NWR-2010-674,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Steelhead,Snake River Basin DPS
NWR-2010-674,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Salmon, Chinook",Snake River spring/summer-run ESU
SER-2000-1051,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide
SER-2000-1051,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, hawksbill sea",Range-wide
SER-2000-1051,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, Kemp's ridley sea",Range-wide
SER-2000-1051,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, leatherback sea",Range-wide
SER-2000-1051,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, loggerhead sea",Range-wide
SER-2000-1313,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide
SER-2000-1313,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, hawksbill sea",Range-wide
SER-2000-1313,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, Kemp's ridley sea",Range-wide
SER-2000-1313,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, leatherback sea",Range-wide
SER-2000-1313,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, loggerhead sea",Range-wide
SER-2003-1071,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, loggerhead sea",Range-wide
SER-2003-1071,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, Kemp's ridley sea",Range-wide
SER-2003-1071,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, hawksbill sea",Range-wide
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, Kemp's ridley sea",Range-wide
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, leatherback sea",Range-wide
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, loggerhead sea",Range-wide
