Entity ID,Common Name,Scientific Name,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
193,"Coqui, golden",Eleutherodactylus jasperi,Amphibians,Region 4,Threatened,Final,Federal Register (1977-11-11),Download,173563,329.0 acres
9378,"Coqui, Llanero",Eleutherodactylus juanariveroi,Amphibians,Region 4,Endangered,Final,Federal Register (2012-10-04),,774192,
205,"Frog, California red-legged",Rana draytonii,Amphibians,Region 8,Threatened,Final,Federal Register (2010-03-17),Download,207009,1641246.1 acres
206,"Frog, Chiricahua leopard",Rana chiricahuensis,Amphibians,Region 2,Threatened,Final,Federal Register (2012-03-20),Download,173451,601.4 acres
208,"Frog, dusky gopher",Rana sevosa,Amphibians,Region 4,Endangered,Final,Federal Register (2012-06-12),Download,665414,5538.8 acres
207,"Frog, mountain yellow-legged",Rana muscosa,Amphibians,Region 8,Endangered,Final,Federal Register (2006-09-14),Download,173454,7954.3 acres
1740,"Frog, mountain yellow-legged",Rana muscosa,Amphibians,Region 8,Endangered,Final,Federal Register (2016-08-26),Download,173454,220547.3 acres
4090,"Frog, Oregon spotted",Rana pretiosa,Amphibians,Region 1,Threatened,Final,Federal Register (2016-05-11),Download,173458,66000.4 acres
10517,"Frog, Sierra Nevada Yellow-legged",Rana sierrae,Amphibians,Region 8,Endangered,Final,Federal Register (2016-08-26),Download,775211,1089453.8 acres
196,Guajon,Eleutherodactylus cooki,Amphibians,Region 4,Threatened,Final,Federal Register (2007-10-23),Download,173558,170.3 acres
6346,"Salamander, Austin blind",Eurycea waterlooensis,Amphibians,Region 2,Endangered,Final,Federal Register (2013-08-20),Download,668294,76.0 acres
203,"Salamander, California tiger",Ambystoma californiense,Amphibians,Region 8,Endangered,Final,Federal Register (2011-08-31),Download,173595,47267.5 acres
4773,"Salamander, California tiger",Ambystoma californiense,Amphibians,Region 8,Threatened,Final,Federal Register (2005-08-23),Download,173595,196948.3 acres
8395,"Salamander, California tiger",Ambystoma californiense,Amphibians,Region 8,Endangered,Final,Federal Register (2004-11-24),Download,173595,10973.1 acres
199,"Salamander, frosted flatwoods",Ambystoma cingulatum,Amphibians,Region 4,Threatened,Final,Federal Register (2009-02-10),Download,173596,21380.3 acres
5434,"Salamander, Georgetown",Eurycea naufragia,Amphibians,Region 2,Threatened,Proposed,Federal Register (2013-01-25),Download,668291,658.8 acres
3849,"Salamander, Jemez Mountains",Plethodon neomexicanus,Amphibians,Region 2,Endangered,Final,Federal Register (2013-11-20),Download,173663,90554.7 acres
8231,"Salamander, Jollyville Plateau",Eurycea tonkawae,Amphibians,Region 2,Threatened,Final,Federal Register (2013-08-20),Download,668293,3305.2 acres
9943,"salamander, Reticulated flatwoods",Ambystoma bishopi,Amphibians,Region 4,Endangered,Final,Federal Register (2009-02-10),Download,775866,3820.7 acres
7610,"Salamander, Salado",Eurycea chisholmensis,Amphibians,Region 2,Threatened,Proposed,Federal Register (2013-01-25),Download,668290,279.8 acres
194,"Salamander, San Marcos",Eurycea nana,Amphibians,Region 2,Threatened,Final,Federal Register (1980-07-14),Download,173693,18.5 acres
204,"Toad, arroyo (=arroyo southwestern)",Anaxyrus californicus,Amphibians,Region 8,Endangered,Final,Federal Register (2011-02-09),Download,773514,98556.0 acres
190,"Toad, Houston",Bufo houstonensis,Amphibians,Region 2,Endangered,Final,Federal Register (1978-01-31),Download,173488,84166.4 acres
1707,"toad, Yosemite",Anaxyrus canorus,Amphibians,Region 8,Threatened,Final,Federal Register (2016-08-26),Download,773515,748697.2 acres
5065,"Waterdog, black warrior (=Sipsey Fork)",Necturus alabamensis,Amphibians,Region 4,Proposed Endangered,Proposed,Federal Register (2016-10-06),,173628,
469,"Harvestman, Cokendolpher Cave",Texella cokendolpheri,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,-50,203.1 acres
474,"Meshweaver, Braken Bat Cave",Cicurina venii,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876262,148.1 acres
473,"Meshweaver, Government Canyon Bat Cave",Cicurina vespera,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876263,64.5 acres
471,"Meshweaver, Madla's Cave",Cicurina madla,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876193,1564.6 acres
472,"Meshweaver, Robber Baron Cave",Cicurina baronia,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876148,323.0 acres
470,"Spider, Government Canyon Bat Cave",Neoleptoneta microps,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,862424,64.5 acres
463,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole",Adelocosa anops,Arachnids,Region 1,Endangered,Final,Federal Register (2003-04-09),Download,849993,232.0 acres
468,"Spider, spruce-fir moss",Microhexura montivaga,Arachnids,Region 4,Endangered,Final,Federal Register (2001-07-06),Download,861657,9516.0 acres
6522,Akekee,Loxops caeruleirostris,Birds,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,554341,17261.3 acres
4136,Akikiki,Oreomystis bairdi,Birds,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,179584,17261.3 acres
117,"Blackbird, yellow-shouldered",Agelaius xanthomus,Birds,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,179062,16969.6 acres
66,"Condor, California",Gymnogyps californianus,Birds,Region 8,Endangered,Final,Federal Register (1977-09-22),Download,175274,604322.1 acres
110,"Crane, Mississippi sandhill",Grus canadensis pulla,Birds,Region 4,Endangered,Final,Federal Register (1977-08-08),Download,202247,26484.7 acres
67,"Crane, whooping",Grus americana,Birds,Region 2,Endangered,Final,Federal Register (1978-05-15),Download,176176,371927.9 acres
118,"Crow, Mariana (=aga)",Corvus kubaryi,Birds,Region 1,Endangered,Final,Federal Register (2004-10-28),,179744,
6901,"Cuckoo, yellow-billed",Coccyzus americanus,Birds,Region 8,Threatened,Proposed,Federal Register (2014-08-15),Download,177831,550563.1 acres
146,"Eider, spectacled",Somateria fischeri,Birds,Region 7,Threatened,Final,Federal Register (2001-02-06),Download,175161,24926667.2 acres
147,"Eider, Steller's",Polysticta stelleri,Birds,Region 7,Threatened,Final,Federal Register (2001-02-02),Download,175153,1819463.2 acres
150,"elepaio, Oahu",Chasiempis ibidis,Birds,Region 1,Endangered,Final,Federal Register (2001-12-10),Download,-1327,65775.6 acres
149,"Flycatcher, southwestern willow",Empidonax traillii extimus,Birds,Region 2,Endangered,Final,Federal Register (2013-01-03),Download,712529,210961.0 acres
145,"Gnatcatcher, coastal California",Polioptila californica californica,Birds,Region 8,Threatened,Final,Federal Register (2007-12-19),Download,-278,197480.9 acres
74,"honeycreeper, (Akohekohe) crested",Palmeria dolei,Birds,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,179587,108852.0 acres
4296,"Horned lark, streaked",Eremophila alpestris strigata,Birds,Region 1,Threatened,Final,Federal Register (2013-10-03),Download,178412,4432.9 acres
119,"Kingfisher, Guam",Todiramphus cinnamominus,Birds,Region 1,Endangered,Final,Federal Register (2004-10-28),,692702,
1221,"Kite, Everglade snail",Rostrhamus sociabilis plumbeus,Birds,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,175296,840153.6 acres
143,"Murrelet, marbled",Brachyramphus marmoratus,Birds,Region 1,Threatened,Final,Federal Register (2016-08-04),Download,176996,3786936.4 acres
129,"Owl, Mexican spotted",Strix occidentalis lucida,Birds,Region 2,Threatened,Final,Federal Register (2004-08-31),Download,177928,9874150.8 acres
142,"Owl, northern spotted",Strix occidentalis caurina,Birds,Region 1,Threatened,Final,Federal Register (2012-12-04),Download,177926,9565750.5 acres
79,Palila (honeycreeper),Loxioides bailleui,Birds,Region 1,Endangered,Final,Federal Register (1977-09-22),Download,179578,96598.8 acres
81,"parrotbill, Maui (Kiwikiu)",Pseudonestor xanthophrys,Birds,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,179593,108852.0 acres
131,"Plover, piping",Charadrius melodus,Birds,Region 5,Threatened,Final,Federal Register (2009-05-19),Download,176507,1387694.3 acres
130,"Plover, piping",Charadrius melodus,Birds,Region 3,Endangered,Final,Federal Register (2001-05-07),Download,176507,43720.9 acres
132,"Plover, western snowy",Charadrius alexandrinus nivosus,Birds,Region 8,Threatened,Final,Federal Register (2012-06-19),Download,176511,24871.3 acres
4064,"sage-grouse, Gunnison",Centrocercus minimus,Birds,Region 6,Threatened,Final,Federal Register (2014-11-20),Download,677540,1426831.5 acres
85,"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,Birds,Region 4,Endangered,Final,Federal Register (2007-11-06),Download,202311,84165.7 acres
137,"Towhee, Inyo California",Pipilo crissalis eremophilus,Birds,Region 8,Threatened,Final,Federal Register (1987-08-03),Download,202309,1921.6 acres
123,"Vireo, least Bell's",Vireo bellii pusillus,Birds,Region 8,Endangered,Final,Federal Register (1994-02-02),Download,179007,37066.0 acres
4237,"Warbler, elfin-woods",Setophaga angelae,Birds,Region 4,Threatened,Proposed,Federal Register (2016-06-22),Download,-1332,27222.3 acres
1241,"White-eye, Rota bridled",Zosterops rotensis,Birds,Region 1,Endangered,Final,Federal Register (2006-09-12),Download,-408,5447.6 acres
365,"Acornshell, southern",Epioblasma othcaloogensis,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80328,397.1 miles
366,"Bankclimber, purple (mussel)",Elliptoideus sloatianus,Clams,Region 4,Threatened,Final,Federal Register (2007-11-15),Download,80298,821.4 miles
4042,"Bean, Choctaw",Villosa choctawensis,Clams,Region 4,Endangered,Final,Federal Register (2012-10-10),Download,80205,1201.2 miles
318,"Bean, purple",Villosa perpurpurea,Clams,Region 5,Endangered,Final,Federal Register (2004-08-31),Download,80219,292.6 miles
377,"Clubshell, ovate",Pleurobema perovatum,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80120,899.1 miles
378,"Clubshell, southern",Pleurobema decisum,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80097,792.6 miles
353,"Combshell, Cumberlandian",Epioblasma brevidens,Clams,Region 4,Endangered,Final,Federal Register (2004-08-31),Download,80304,467.1 miles
367,"Combshell, upland",Epioblasma metastriata,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80321,457.9 miles
7363,"Ebonyshell, round",Fusconaia rotulata,Clams,Region 4,Endangered,Final,Federal Register (2012-10-10),Download,-1165,303.6 miles
354,"Elktoe, Appalachian",Alasmidonta raveneliana,Clams,Region 4,Endangered,Final,Federal Register (2002-09-27),Download,79924,2738.4 acres
355,"Elktoe, Cumberland",Alasmidonta atropurpurea,Clams,Region 4,Endangered,Final,Federal Register (2004-08-31),Download,79928,147.5 miles
370,"Heelsplitter, Carolina",Lasmigona decorata,Clams,Region 4,Endangered,Final,Federal Register (2002-07-02),Download,80140,85.8 miles
1559,"Kidneyshell, fluted",Ptychobranchus subtentum,Clams,Region 4,Endangered,Final,Federal Register (2013-09-26),Download,80162,1109.5 miles
7949,"Kidneyshell, southern",Ptychobranchus jonesi,Clams,Region 4,Endangered,Final,Federal Register (2012-10-10),Download,80160,1072.8 miles
