Jeopardy,CriticalHabitat,Region,CH,Spp,CH_cons,Spp_cons
"Adverse Mod, No Jeopardy",Adverse Modification,,Adverse Modification,No Jeopardy,Adverse Modification,No Jeopardy
Jeopardy & Adverse Modification,Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy
"No Jeopardy, No Adverse Mod",Adverse Modification,,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
Not Likely to Adversely Affect,Adverse Modification,,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy
"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,No Adverse Modification,Jeopardy,Adverse Modification,Jeopardy
"Adverse Mod, No Jeopardy",May Affect,,Adverse Modification,No Jeopardy,Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect,,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
Not Likely to Adversely Affect,May Affect,,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
Withdrawn,May Affect,,No Adverse Modification,No Effect,No Adverse Modification,No Effect
"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
Jeopardy & Adverse Modification,May Affect - Likely to Adversely Affect,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy
"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,N/A,N/A,N/A,N/A
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,WCR,N/A,N/A,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,SWR,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,SER,N/A,N/A,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,PIR,N/A,N/A,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,NER,No Effect,No Jeopardy,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,NWR,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,FPR,N/A,N/A,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,AKR,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,^[0-9],No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
