TrackingNumber,Common.Name,Population.Name,Jeopardy,CriticalHabitat,CH,Spp,CH_cons,Spp_cons
NER-2005-5574,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2005-5574,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2005-5574,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Effect,No Effect,No Effect
NER-2005-5574,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2005-5574,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2005-5574,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2005-5574,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1754,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1754,"Whale, fin",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-1754,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1754,"Turtle, loggerhead sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-1754,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1754,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-1754,"Whale, humpback",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-1754,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-1757,"Turtle, loggerhead sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Whale, humpback",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Whale, fin",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-1757,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,No Jeopardy,No Adverse Modification,No Jeopardy
NER-2008-1757,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2008-9091,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-9091,"Turtle, loggerhead sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-9091,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2008-9091,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2009-7486,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2009-7486,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2009-7486,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2009-7486,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2010-5732,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2010-5732,"Turtle, leatherback sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2010-5732,"Turtle, green sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2010-5732,"Turtle, loggerhead sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2012-1175,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
NER-2012-1456,"Whale, fin",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2012-1456,"Whale, sei",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2012-1456,"Turtle, loggerhead sea",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
NER-2012-1456,"Whale, North Atlantic right",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,No Jeopardy,No Adverse Modification,No Jeopardy
NER-2012-1456,"Whale, humpback",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
