NMFS.Tracking.Number,Common.Name,Population.Name,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.
790010,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
810014,"Whale, sei",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
820016,"Whale, sperm",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
830015,,,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
840009,,,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
840016,"Sturgeon, shortnose",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
840024,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
850006,"Turtle, green sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
880022,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
890014,"Whale, sperm",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910045,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910045,"Turtle, green sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910045,"Turtle, hawksbill sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910045,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910045,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
910049,,,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
920033,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
920033,"Sturgeon, shortnose",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
920033,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
920033,"Turtle, green sea",Florida Breeding Populations,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
940074,,,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
950049,,,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
960042,"Turtle, unidentified sea",NA,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Whale, humpback",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Whale, fin",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Turtle, hawksbill sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Turtle, green sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
