"","Var1","Freq"
"1","800014",1
"2","820024",1
"3","830015",1
"4","840009",1
"5","870011",1
"6","870013",1
"7","870045",1
"8","890003",1
"9","900022",1
"10","900029",1
"11","900053",1
"12","910002",1
"13","910021",1
"14","910023",1
"15","910036",1
"16","910049",1
"17","920005",1
"18","920024",1
"19","920040",1
"20","920043",1
"21","920060",1
"22","920061",1
"23","930008",1
"24","930021",1
"25","930031",1
"26","930045",1
"27","930077",1
"28","930089",1
"29","930092",1
"30","930094",1
"31","940016",1
"32","940071",1
"33","940074",1
"34","950015",1
"35","950018",1
"36","950023",1
"37","950026",1
"38","950037",1
"39","950049",1
"40","950050",1
"41","950066",1
"42","960063",1
"43","960064",1
"44","960065",1
"45","AKR-1998-1409",1
"46","AKR-2003-611",1
"47","AKR-2005-5579",1
"48","AKR-2010-6742",1
"49","AKR-2012-2419",1
"50","FPR-1997-1109",1
"51","FPR-1997-87",1
"52","FPR-1998-279",1
"53","FPR-1998-282",1
"54","FPR-1999-1158",1
"55","FPR-1999-1160",1
"56","FPR-2001-960",1
"57","FPR-2002-1238",1
"58","FPR-2003-1327",1
"59","FPR-2003-1626",1
"60","FPR-2003-415",1
"61","FPR-2003-673",1
"62","FPR-2004-1538",1
"63","FPR-2007-2183",1
"64","FPR-2007-2184",1
"65","FPR-2007-2185",1
"66","FPR-2007-2531",1
"67","FPR-2010-2650",1
"68","FPR-2010-3395",1
"69","FPR-2011-2995",1
"70","FPR-2011-3193",1
"71","FPR-2011-6551",1
"72","FPR-2014-9095",1
"73","FPR-2015-9111",1
"74","FPR-2015-9114",1
"75","NER-2000-1028",1
"76","NER-2001-1245",1
"77","NER-2012-1183",1
"78","NER-2012-9241",1
"79","NER-2015-12128",1
"80","NER-2015-12248",1
"81","NWR-1994-161",1
"82","NWR-1994-167",1
"83","NWR-1994-171",1
"84","NWR-1995-188",1
"85","NWR-1997-1308",1
"86","NWR-1997-1379",1
"87","NWR-1998-1377",1
"88","NWR-1998-1412",1
"89","NWR-1998-1580",1
"90","NWR-1999-1005",1
"91","NWR-1999-1082",1
"92","NWR-1999-1223",1
"93","NWR-1999-1601",1
"94","NWR-1999-1687",1
"95","NWR-1999-1833",1
"96","NWR-1999-1851",1
"97","NWR-1999-1858",1
"98","NWR-1999-1862",1
"99","NWR-1999-1863",1
"100","NWR-1999-1865",1
"101","NWR-1999-1873",1
"102","NWR-1999-1878",1
"103","NWR-1999-1883",1
"104","NWR-1999-1892",1
"105","NWR-1999-1904",1
"106","NWR-1999-1905",1
"107","NWR-1999-1906",1
"108","NWR-1999-414",1
"109","NWR-1999-418",1
"110","NWR-1999-419",1
"111","NWR-1999-421",1
"112","NWR-1999-424",1
"113","NWR-1999-425",1
"114","NWR-1999-426",1
"115","NWR-1999-836",1
"116","NWR-1999-906",1
"117","NWR-1999-993",1
"118","NWR-1999-999",1
"119","NWR-2000-1009",1
"120","NWR-2000-1054",1
"121","NWR-2000-1120",1
"122","NWR-2000-1182",1
"123","NWR-2000-1197",1
"124","NWR-2000-1219",1
"125","NWR-2000-1225",1
"126","NWR-2000-1235",1
"127","NWR-2000-1269",1
"128","NWR-2000-1274",1
"129","NWR-2000-1330",1
"130","NWR-2000-1345",1
"131","NWR-2000-1347",1
"132","NWR-2000-1356",1
"133","NWR-2000-1373",1
"134","NWR-2000-1376",1
"135","NWR-2000-1377",1
"136","NWR-2000-1378",1
"137","NWR-2000-1380",1
"138","NWR-2000-1415",1
"139","NWR-2000-1421",1
"140","NWR-2000-1439",1
"141","NWR-2000-1443",1
"142","NWR-2000-1444",1
"143","NWR-2000-1449",1
"144","NWR-2000-1459",1
"145","NWR-2000-1466",1
"146","NWR-2000-1478",1
"147","NWR-2000-1479",1
"148","NWR-2000-1487",1
"149","NWR-2000-1489",1
"150","NWR-2000-1490",1
"151","NWR-2000-1492",1
