,NMFS.Tracking.Number,count
1,AKR-2003-1127,2
2,AKR-2005-2040,2
3,AKR-2005-2042,2
4,AKR-2005-3088,2
5,AKR-2005-3841,2
6,AKR-2005-3844,2
7,AKR-2005-3849,2
8,AKR-2005-3851,2
9,AKR-2005-408,2
10,AKR-2005-598,2
11,AKR-2005-599,2
12,AKR-2005-6075,2
13,AKR-2005-6076,2
14,AKR-2005-6077,2
15,AKR-2005-6078,2
16,AKR-2005-6079,2
17,AKR-2006-241,2
18,AKR-2006-5796,2
19,AKR-2007-6372,2
20,AKR-2009-4114,2
21,AKR-2009-5225,2
22,FHC-2005-7167,2
23,NER-2006-2251,2
24,NER-2006-2252,2
25,NER-2006-2271,2
26,NER-2006-2765,2
27,NER-2006-2766,2
28,NER-2006-4150,2
29,NER-2007-2179,2
30,NER-2008-3735,2
31,NER-2008-8783,2
32,NER-2008-8784,2
33,NER-2008-8909,2
34,NER-2009-1467,2
35,NER-2009-2122,2
36,NER-2009-2135,2
37,NER-2009-4923,2
38,NER-2009-4925,2
39,NER-2009-5038,2
40,NER-2010-429,2
41,NER-2010-5554,2
42,NER-2010-6514,2
43,NER-2011-546,2
44,NWR-2000-1464,2
45,NWR-2000-1485,2
46,NWR-2001-1069,2
47,NWR-2001-1454,2
48,NWR-2001-466,2
49,NWR-2001-745,2
50,NWR-2001-899,2
51,NWR-2002-1086,2
52,NWR-2002-1218,2
53,NWR-2002-1277,2
54,NWR-2002-1279,2
55,NWR-2002-1288,2
56,NWR-2002-1920,2
57,NWR-2002-1957,2
58,NWR-2002-612,2
59,NWR-2002-673,2
60,NWR-2002-681,2
61,NWR-2002-779,2
62,NWR-2003-1397,2
63,NWR-2003-185,2
64,NWR-2003-238,2
65,NWR-2003-319,2
66,NWR-2003-790,2
67,NWR-2003-791,2
68,NWR-2003-793,2
69,NWR-2003-877,2
70,NWR-2003-88,2
71,NWR-2004-1050,2
72,NWR-2004-1877,2
73,NWR-2004-1968,2
74,NWR-2005-103,2
75,NWR-2005-193,2
76,NWR-2005-2066,2
77,NWR-2005-2786,2
78,NWR-2005-3836,2
79,NWR-2005-3868,2
80,NWR-2005-4087,2
81,NWR-2005-4095,2
82,NWR-2005-4218,2
83,NWR-2005-4486,2
84,NWR-2005-4526,2
85,NWR-2005-4534,2
86,NWR-2005-5498,2
87,NWR-2005-5499,2
88,NWR-2005-5500,2
89,NWR-2005-553,2
90,NWR-2005-554,2
91,NWR-2005-558,2
92,NWR-2005-559,2
93,NWR-2005-560,2
94,NWR-2005-561,2
95,NWR-2005-5783,2
96,NWR-2005-5894,2
97,NWR-2005-5907,2
98,NWR-2005-5909,2
99,NWR-2005-5976,2
100,NWR-2005-6157,2
101,NWR-2005-6825,2
102,NWR-2005-7050,2
103,NWR-2005-7187,2
104,NWR-2006-2600,2
105,NWR-2006-3177,2
106,NWR-2006-325,2
107,NWR-2006-3318,2
108,NWR-2006-3608,2
109,NWR-2006-5179,2
110,NWR-2006-6862,2
111,NWR-2007-2966,2
112,NWR-2007-7070,2
113,NWR-2007-9077,2
114,NWR-2007-9114,2
115,NWR-2007-9145,2
116,NWR-2008-124,2
117,NWR-2008-3739,2
118,NWR-2008-6491,2
119,NWR-2008-6695,2
120,NWR-2008-7526,2
121,NWR-2008-7668,2
122,NWR-2008-9012,2
123,NWR-2008-9162,2
124,NWR-2009-1306,2
125,NWR-2009-1524,2
126,NWR-2009-2004,2
127,NWR-2009-2070,2
128,NWR-2009-2579,2
129,NWR-2009-2583,2
130,NWR-2009-2964,2
131,NWR-2009-3391,2
132,NWR-2009-5207,2
133,NWR-2009-5254,2
134,NWR-2009-5542,2
135,NWR-2009-6774,2
136,NWR-2009-6775,2
137,NWR-2009-7212,2
138,NWR-2009-957,2
139,NWR-2010-2404,2
140,NWR-2010-2405,2
141,NWR-2010-2476,2
142,NWR-2010-259,2
143,NWR-2010-2942,2
144,NWR-2010-3252,2
145,NWR-2010-3352,2
146,NWR-2010-3515,2
147,NWR-2010-4047,2
148,NWR-2010-4710,2
149,NWR-2010-4713,2
150,NWR-2010-4714,2
151,NWR-2010-4715,2
152,NWR-2010-4716,2
153,NWR-2010-5165,2
154,NWR-2010-5371,2
155,NWR-2010-5372,2
156,NWR-2010-5374,2
157,NWR-2010-5486,2
158,NWR-2010-5757,2
159,NWR-2010-5758,2
160,NWR-2010-5765,2
161,NWR-2010-5771,2
162,NWR-2010-5916,2
163,NWR-2010-5918,2
164,NWR-2010-6071,2
165,NWR-2010-6582,2
166,NWR-2010-829,2
167,NWR-2010-956,2
168,NWR-2011-1555,2
169,NWR-2011-1556,2
170,NWR-2011-168,2
171,NWR-2011-18,2
172,NWR-2011-2000,2
173,NWR-2011-2364,2
174,NWR-2011-2623,2
175,NWR-2011-308,2
176,NWR-2011-3760,2
177,NWR-2011-384,2
178,NWR-2011-3888,2
179,NWR-2011-4337,2
180,NWR-2011-4340,2
181,NWR-2011-4343,2
182,NWR-2011-4833,2
183,NWR-2011-550,2
184,NWR-2011-5954,2
185,NWR-2011-6531,2
186,NWR-2011-6533,2
187,NWR-2011-6554,2
188,NWR-2011-875,2
189,NWR-2012-1416,2
190,NWR-2012-1756,2
191,NWR-2012-2642,2
192,NWR-2012-3464,2
193,NWR-2012-413,2
194,PIR-2006-1117,2
195,PIR-2006-1231,2
