NMFS.Tracking.Number,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.,Common.Name,Population.Name,count,,NMFS.Tracking.Number,count
SWR-2012-238,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,No Biop,,2,1,NWR-2006-964,44
950049,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,No Biop,,1,2,WCR-2015-3147,40
AKR-1998-1409,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,No Biop,,1,3,NWR-2012-2531,39
NWR-1997-1308,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,"Trout, cutthroat",Umpqua River DPS,1,4,NWR-2010-6138,35
830015,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",No Biop,,1,5,NWR-2012-2762,34
840009,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",No Biop,,1,6,NWR-2009-7599,31
910049,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",No Biop,,1,7,NWR-2002-1959,28
940074,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",No Biop,,1,8,NWR-2010-4378,27
950018,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,9,NWR-2007-1605,26
AKR-2003-611,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,10,NWR-2010-4010,26
AKR-2010-6742,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,11,NWR-2010-5479,26
AKR-2012-2419,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,12,NWR-2010-6104,26
FPR-2001-960,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,13,NWR-2009-3478,25
FPR-2002-1238,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,14,NWR-2009-7575,25
FPR-2003-1327,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,15,NWR-2009-6847,24
FPR-2003-1626,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,16,NWR-2011-2095,24
FPR-2003-415,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,17,NWR-2007-3133,22
FPR-2003-673,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,18,NWR-2007-7318,22
FPR-2004-1538,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,19,NWR-2009-4136,21
FPR-2007-2183,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,20,NWR-2011-1543,21
FPR-2007-2184,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,21,NWR-2008-3506,20
FPR-2007-2185,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,22,NWR-2008-3507,20
FPR-2010-2650,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,23,SER-2015-17004,20
