TrackingNumber,Common.Name,Population.Name,NMFSJeopardy,NMFSCriticalHabitat,AdMod,Jeopardy,CH_cons,Spp_cons,BiOp,RPA,WorkType,Comments,Population,ProposedSP,ProposedCH
AKR-1998-1409,,,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,,,,,N,,,Pre-2000,,,
AKR-2000-978,"Salmon, sockeye",Snake River ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,,,,N,,,,,,
AKR-2000-978,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,,,,N,,,,,,
AKR-2000-978,"Whale, fin",Northeast Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,,,,N,,,,,,
AKR-2000-978,"Whale, sei",Eastern North Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,,,,N,,,,,,
AKR-2000-978,"Whale, sperm",North Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod",,,,,N,,,,,,
AKR-2006-7616,"Sea lion, Steller",Eastern US DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification,,,,,N,,,,,,
AKR-2016-9555,"Seal, ringed",Arctic Subspecies,"Jeopardy, No Adverse Mod",,,,,,N,,,Reinitiation of this project has no jeopardy findings (AKR-2016-9590) https://repository.library.noaa.gov/view/noaa/17163,,,
FPR-2002-1901,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, Chinook",Upper Columbia River spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,Not Likely to Adversely Affect,Not Likely to Adversely Affect
FPR-2002-1901,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,South Central California Coast DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,South Central California Coast DPS,,
FPR-2002-1901,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1901,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For propargite,,,
FPR-2002-1905,"Salmon, Chinook",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-1905,"Salmon, chum",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-1905,"Salmon, coho",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-1905,"Salmon, sockeye",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-1905,Steelhead,,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,, ,
FPR-2002-1905,"Salmon, Chinook",Upper Willamette River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Snake River spring/summer-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Snake River fall-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Sacramento River winter-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Puget Sound ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Lower Columbia River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",Central Valley spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, Chinook",California Coastal ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
