,NMFS.Tracking.Number,tracking,start,end,start,end,BiOp?,
1,AKR-2014-9381,AKR-2014-9381,12/9/2013,5/19/2013,12/9/2013,5/15/2014,,
2,FPR-2013-9044,FPR-2013-9044,5/21/2013,3/1/2013,5/21/2013,3/1/2014,Missing,
3,FPR-2013-9053,FPR-2013-9053,9/8/2013,5/17/2013,9/8/2013,5/17/2014,Missing,
4,FPR-2015-9114,FPR-2015-9114,10/4/2014,2/24/2014,10/4/2014,2/24/2015,Missing,
5,FPR-2015-9141,FPR-2015-9141,11/16/2016,2/5/2016,11/16/2015,2/5/2016,Missing,
6,FPR-2016-9147,FPR-2016-9147,1/21/2016,1/15/2016,1/15/2016,1/21/2016,Missing,
7,FPR-2016-9158,FPR-2016-9158,3/22/2016,2/23/2016,3/22/2016,5/18/2017,,
8,NER-2012-9255,NER-2012-9255,12/3/2013,1/10/2013,12/3/2012,1/10/2013,,
9,NER-2013-9519,NER-2013-9519,1/28/2013,3/12/2012,1/28/2013,3/12/2013,,
10,NER-2013-9995,NER-2013-9995,7/12/2013,1/14/2013,7/12/2012,1/14/2013,,
11,NER-2014-10708,NER-2014-10708,8/19/2015,3/19/2014,2/5/2015,3/4/2015,,
12,NWR-2010-6089,NWR-2010-6089,8/4/2011,2/11/2011,8/4/2010,2/11/2011,Missing,
13,NWR-2010-6091,NWR-2010-6091,12/16/2011,4/12/2011,12/16/2010,4/12/2011,Missing,
14,NWR-2011-3165,NWR-2011-3165,7/12/2012,8/5/2011,7/12/2011,8/5/2011,Missing,
15,NWR-2011-5344,NWR-2011-5344,12/12/2013,3/13/2013,,,Missing,
16,NWR-2012-2688,NWR-2012-2688,10/10/2012,2/13/2012,10/10/2012,2/13/2013,,
17,PIR-2015-9740,PIR-2015-9740,10/30/2015,10/19/2015,10/19/2015,10/30/2015,Missing,
18,PIR-2016-9986,PIR-2016-9986,10/11/2016,4/12/2016,10/11/2015,4/12/2016,Missing,
19,SER-2002-1320,SER-2002-1320,11/16/2002,1/28/2002,11/16/2001,1/28/2002,Missing,
20,SER-2002-1444,SER-2002-1444,12/14/2002,1/28/2002,12/14/2001,1/28/2002,Missing,
21,SER-2003-59,SER-2003-59,1/30/2003,1/11/2003,1/11/2003,1/30/2003,Missing,
22,SER-2011-2017,SER-2011-2017,4/17/2014,11/8/2011,4/17/2011,11/8/2011,Missing,
23,SER-2011-5219,SER-2011-5219,10/11/2012,1/5/2012,10/11/2011,1/5/2012,Missing,
24,SER-2012-4199,SER-2012-4199,11/13/2012,10/4/2012,11/13/2011,10/4/2012,Missing,
25,SER-2012-4823,SER-2012-4823,11/9/2012,10/26/2012,11/9/2011,10/26/2012,Missing,
