FID1,FID2,Area,DPS1,AREA1,DPS2,AREA2
0,53,699,Snake River Sockeye Salmon,699.24273,Snake River Basin Steelhead,74662.53354
0,85,699,Snake River Sockeye Salmon,699.24273,Snake River Spring/Summer-run Chinook Salmon,56765.43158
1,53,129,Snake River Sockeye Salmon,654.895291,Snake River Basin Steelhead,74662.53354
1,54,526,Snake River Sockeye Salmon,654.895291,Snake River Basin Steelhead,108267.0792
1,85,129,Snake River Sockeye Salmon,654.895291,Snake River Spring/Summer-run Chinook Salmon,56765.43158
1,86,526,Snake River Sockeye Salmon,654.895291,Snake River Spring/Summer-run Chinook Salmon,108003.951
2,19,0,Baker River Sockeye Salmon,770.701751,Puget Sound\Strait of Georgia Coho Salmon,27753.44966
2,19,771,Baker River Sockeye Salmon,770.701751,Puget Sound\Strait of Georgia Coho Salmon,27753.44966
2,29,0,Baker River Sockeye Salmon,770.701751,Puget Sound\Strait of Georgia Chum Salmon,27711.48191
2,29,771,Baker River Sockeye Salmon,770.701751,Puget Sound\Strait of Georgia Chum Salmon,27711.48191
2,48,0,Baker River Sockeye Salmon,770.701751,Puget Sound Steelhead,25904.97074
2,48,771,Baker River Sockeye Salmon,770.701751,Puget Sound Steelhead,25904.97074
2,77,0,Baker River Sockeye Salmon,770.701751,Puget Sound Chinook Salmon,24956.66514
2,77,0,Baker River Sockeye Salmon,770.701751,Puget Sound Chinook Salmon,24956.66514
2,77,771,Baker River Sockeye Salmon,770.701751,Puget Sound Chinook Salmon,24956.66514
3,15,30,Lake Pleasant Sockeye Salmon,30.468371,Olympic Peninsula Coho Salmon,6700.835629
3,27,30,Lake Pleasant Sockeye Salmon,30.468371,Pacific Coast Chum Salmon,45002.79057
3,45,30,Lake Pleasant Sockeye Salmon,30.468371,Olympic Peninsula Steelhead,7104.672808
3,100,30,Lake Pleasant Sockeye Salmon,30.468371,Washington Coast Chinook Salmon,16928.74201
4,19,0,Lake Wenatchee Sockeye Salmon,437.463671,Puget Sound\Strait of Georgia Coho Salmon,27753.44966
4,29,0,Lake Wenatchee Sockeye Salmon,437.463671,Puget Sound\Strait of Georgia Chum Salmon,27711.48191
4,48,0,Lake Wenatchee Sockeye Salmon,437.463671,Puget Sound Steelhead,25904.97074
4,56,437,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Steelhead,17464.74278
4,56,0,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Steelhead,17464.74278
4,88,437,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Summer\Fall-run Chinook Salmon,30903.15242
4,88,0,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Summer\Fall-run Chinook Salmon,30903.15242
4,92,437,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Spring-run Chinook Salmon,11680.13637
4,92,0,Lake Wenatchee Sockeye Salmon,437.463671,Upper Columbia River Spring-run Chinook Salmon,11680.13637
5,57,229,Okanogan River Sockeye Salmon,229.100384,Upper Columbia River Steelhead,682.505062
5,89,229,Okanogan River Sockeye Salmon,229.100384,Upper Columbia River Summer\Fall-run Chinook Salmon,682.505062
5,93,229,Okanogan River Sockeye Salmon,229.100384,Upper Columbia River Spring-run Chinook Salmon,682.505062
6,56,66,Okanogan River Sockeye Salmon,66.403732,Upper Columbia River Steelhead,17464.74278
6,88,66,Okanogan River Sockeye Salmon,66.403732,Upper Columbia River Summer\Fall-run Chinook Salmon,30903.15242
6,92,66,Okanogan River Sockeye Salmon,66.403732,Upper Columbia River Spring-run Chinook Salmon,11680.13637
7,15,232,Ozette Lake Sockeye Salmon,232.354385,Olympic Peninsula Coho Salmon,6700.835629
7,27,232,Ozette Lake Sockeye Salmon,232.354385,Pacific Coast Chum Salmon,45002.79057
7,45,232,Ozette Lake Sockeye Salmon,232.354385,Olympic Peninsula Steelhead,7104.672808
7,100,232,Ozette Lake Sockeye Salmon,232.354385,Washington Coast Chinook Salmon,16928.74201
8,15,531,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Coho Salmon,6700.835629
8,15,0,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Coho Salmon,6700.835629
8,15,0,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Coho Salmon,6700.835629
8,18,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound\Strait of Georgia Coho Salmon,3314.55763
8,19,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound\Strait of Georgia Coho Salmon,27753.44966
8,27,531,Quinault Lake Sockeye Salmon,530.575124,Pacific Coast Chum Salmon,45002.79057
8,27,0,Quinault Lake Sockeye Salmon,530.575124,Pacific Coast Chum Salmon,45002.79057
8,27,0,Quinault Lake Sockeye Salmon,530.575124,Pacific Coast Chum Salmon,45002.79057
8,29,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound\Strait of Georgia Chum Salmon,27711.48191
8,30,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound\Strait of Georgia Chum Salmon,3314.557634
8,45,531,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Steelhead,7104.672808
8,45,0,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Steelhead,7104.672808
8,45,0,Quinault Lake Sockeye Salmon,530.575124,Olympic Peninsula Steelhead,7104.672808
8,47,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound Steelhead,5196.516463
8,48,0,Quinault Lake Sockeye Salmon,530.575124,Puget Sound Steelhead,25904.97074
8,100,531,Quinault Lake Sockeye Salmon,530.575124,Washington Coast Chinook Salmon,16928.74201
8,100,0,Quinault Lake Sockeye Salmon,530.575124,Washington Coast Chinook Salmon,16928.74201
8,100,0,Quinault Lake Sockeye Salmon,530.575124,Washington Coast Chinook Salmon,16928.74201
9,31,2301,Central California Coast Coho Salmon,2820.777419,Central California Coast Steelhead,2863.233722
9,31,520,Central California Coast Coho Salmon,2820.777419,Central California Coast Steelhead,2863.233722
9,101,520,Central California Coast Coho Salmon,2820.777419,California Coastal Chinook Salmon,1580.589759
10,32,6191,Central California Coast Coho Salmon,6566.339015,Central California Coast Steelhead,14078.15901
10,32,376,Central California Coast Coho Salmon,6566.339015,Central California Coast Steelhead,14078.15901
10,64,376,Central California Coast Coho Salmon,6566.339015,Central Valley Fall & Late Fall-run Chinook Salmon,57883.75699
11,32,2978,Central California Coast Coho Salmon,10611.53315,Central California Coast Steelhead,14078.15901
11,32,3326,Central California Coast Coho Salmon,10611.53315,Central California Coast Steelhead,14078.15901
11,44,4302,Central California Coast Coho Salmon,10611.53315,Northern California Steelhead,16886.90687
11,102,6,Central California Coast Coho Salmon,10611.53315,California Coastal Chinook Salmon,20218.80223
11,102,3326,Central California Coast Coho Salmon,10611.53315,California Coastal Chinook Salmon,20218.80223
11,102,4302,Central California Coast Coho Salmon,10611.53315,California Coastal Chinook Salmon,20218.80223
12,18,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound\Strait of Georgia Coho Salmon,3314.55763
12,18,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound\Strait of Georgia Coho Salmon,3314.55763
12,23,0,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,0,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,499,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,6728,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,193,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,3249,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,0,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,654,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,5,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,23,0,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,12288.06098
12,24,212,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,465.561284
12,24,0,Lower Columbia River Coho Salmon,19318.85888,Columbia River Chum Salmon,465.561284
12,30,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound\Strait of Georgia Chum Salmon,3314.557634
12,30,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound\Strait of Georgia Chum Salmon,3314.557634
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,5897,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,6728,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,212,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,1422,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,654,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,39,0,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Steelhead,14912.37005
12,41,0,Lower Columbia River Coho Salmon,19318.85888,Middle Columbia River Steelhead,77378.92864
12,41,0,Lower Columbia River Coho Salmon,19318.85888,Middle Columbia River Steelhead,77378.92864
12,41,0,Lower Columbia River Coho Salmon,19318.85888,Middle Columbia River Steelhead,77378.92864
12,41,193,Lower Columbia River Coho Salmon,19318.85888,Middle Columbia River Steelhead,77378.92864
12,47,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound Steelhead,5196.516463
12,47,0,Lower Columbia River Coho Salmon,19318.85888,Puget Sound Steelhead,5196.516463
12,55,0,Lower Columbia River Coho Salmon,19318.85888,Southwest Washington Steelhead,13241.26124
12,55,168,Lower Columbia River Coho Salmon,19318.85888,Southwest Washington Steelhead,13241.26124
12,55,3249,Lower Columbia River Coho Salmon,19318.85888,Southwest Washington Steelhead,13241.26124
12,60,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,60,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,60,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,60,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,60,5,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,60,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,12589.67106
12,61,0,Lower Columbia River Coho Salmon,19318.85888,Upper Willamette River Steelhead,1875.758266
12,71,293,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Chinook Salmon,19318.85996
12,71,499,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Chinook Salmon,19318.85996
12,71,5897,Lower Columbia River Coho Salmon,19318.85888,Lower Columbia River Chinook Salmon,19318.85996
