"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"1","AKR-2010-6858","Sea lion, Steller","Western US DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"2","AKR-2013-9282","Sea lion, Steller","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"3","AKR-2013-9306","Whale, humpback","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"4","AKR-2013-9309","Whale, bowhead","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"5","AKR-2014-9361","Sea lion, Steller","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"6","AKR-2015-9474","Whale, beluga","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"7","AKR-2016-9510","Whale, beluga","Cook Inlet","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"8","AKR-2016-9590","Sea lion, Steller","Western US DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"9","FPR-2011-431","Sea lion, Steller","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"10","FPR-2012-1462","Sea lion, Steller","Eastern US DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"11","FPR-2012-1462","Turtle, leatherback sea","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"12","FPR-2012-9025","Sawfish, smalltooth","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"13","FPR-2012-9025","Sturgeon, Gulf","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"14","FPR-2012-9025","Turtle, green sea","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"15","FPR-2012-9025","Sawfish, largetooth","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"16","FPR-2012-9025","Whale, fin","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"17","FPR-2012-9025","Whale, humpback","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"18","FPR-2012-9025","Whale, North Atlantic right","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
