NMFS Tracking Number,Common Name,Population Name,Species Determination,Critical Habitat Determination,Question
AKR-2014-9366,"Sea lion, Steller",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,"Can formal consultation end with LAA for CH? We expect there to be either a Ad Mod, or No Ad Mod call.   "
AKR-2015-9415,"Whale, humpback",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
AKR-2015-9426,"Whale, beluga",Cook Inlet,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
AKR-2016-9544,"Whale, humpback",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
FPR-2013-9060,"Turtle, green sea",Florida Breeding Populations,"Jeopardy, No Adverse Mod",No Effect,"No effect on CH suggests formal consultation on CH was not conducted.  Unclear whether these are No Ad Mod, or should be null values for the CH conclusion."
FPR-2014-9105,"Salmon, chum",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
FPR-2016-9182,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect,"Can consultation end in 'May Affect'?  If so, is the 'No Adverse Mod' portion of the species determination incorrect?  We are assuming these are probably all Ad Mod for CH, with 'May Affect' having been autopopulated?"
NER-2003-1143,"Whale, fin",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NER-2003-961,"Turtle, Kemp's ridley sea",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NER-2007-3720,"Turtle, leatherback sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NER-2014-10707,"Sturgeon, shortnose",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NER-2014-10946,"Sturgeon, shortnose",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NER-2016-13077,"Sturgeon, Atlantic",Chesapeake Bay DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NWR-2011-2313,Steelhead,Snake River Basin DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NWR-2012-4882,Steelhead,Middle Columbia River DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
NWR-2013-10124,Bocaccio,<NA>,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2009-762,"Coral, staghorn",<NA>,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2010-6853,"Turtle, loggerhead sea",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2012-1825,"Sawfish, smalltooth",U.S. DPS,Withdrawn,May Affect - Likely to Adversely Affect,
SER-2012-2282,"Sturgeon, Gulf",<NA>,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2012-3177,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2012-3181,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2012-3777,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2012-9303,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2013-10503,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
