Common.Name,Population,CriticalHabitat
*****,Range-wide,NA
"Abalone, black",Range-wide,10/27/2011
"Abalone, white",Range-wide,NA
Bocaccio,Puget Sound/Georgia Basin DPS,11/14/2014
Bocaccio,Range-wide,NA
"Bryozoan, A",Capron Shoals,NA
"Bryozoan, C",Capron Shoals,NA
"Cetacean, unidentified",Range-wide,NA
Coastal pelagic,Coastal Pelagic Species FMP,NA
Coral,Range-wide,NA
"Coral, Acropora  speciosa",Range-wide,NA
"Coral, Acropora globiceps",Range-wide,NA
"Coral, Acropora jacquelineae",Range-wide,NA
"Coral, Acropora lokani",Range-wide,NA
"Coral, Acropora pharaonis",Range-wide,NA
"Coral, Acropora retusa",Range-wide,NA
"Coral, Acropora rudis",Range-wide,NA
"Coral, Acropora speciosa",Range-wide,NA
"Coral, Acropora tenella",Range-wide,NA
"Coral, Anacropora spinosa",Range-wide,NA
"Coral, Boulder Star",Range-wide,NA
"Coral, elkhorn",Range-wide,11/26/2008
"Coral, Euphyllia paradivisa",Range-wide,NA
"Coral, Isopora crateriformis",Range-wide,NA
"Coral, Lobed Star",Range-wide,NA
"Coral, Monitpora austaliensis",Range-wide,NA
"Coral, Mountainous Star",Range-wide,NA
"Coral, Pavona diffluens",Range-wide,NA
"Coral, Pillar",Range-wide,NA
"Coral, Rough Cactus",Range-wide,NA
"Coral, Seriatopora aculeate",Range-wide,NA
"Coral, staghorn",Range-wide,11/26/2008
"Dolphin, bottlenose",Western North Atlantic Coastal Stocks,NA
"Dolphin, northern right whale",Range-wide,NA
"Dolphin, pantropical spotted",Western North Atlantic Stock,NA
"Dolphin, southern right whale",Range-wide,NA
"Dolphin, spinner",Hawaiian Stock,NA
Eulachon,Columbia River,10/20/2011
Eulachon,Range-wide,NA
Eulachon,Southern DPS,10/20/2011
Groundfish,Pacific Coast Groundfish FMP,NA
"Grouper, Goliath",NC southward to Gulf of Mexico,NA
"grouper, Nassau",Range-wide,NA
"Grouper, Warsaw",MA to Gulf of Mexico,NA
Highly Migratory Species,Highly Migratory Species for West Coast FMP,NA
"Hind, speckled",NC to Gulf of Mexico,NA
"Manatee, unidentified",Range-wide,NA
"Manatee, West Indian",Range-wide,NA
"Marine mammal, unidentified",Range-wide,NA
no listed species,Range-wide,NA
"Otter, sea",Range-wide,NA
"Pinniped, unidentified",Range-wide,NA
"Porpoise, harbor",Gulf of Maine/Bay of Fundy Stock,NA
"Porpoise, harbor",San Francisco - Russian River Stock,NA
"Rockfish, brown",Coastal DPS,NA
"Rockfish, canary",Puget Sound/Georgia Basin DPS,11/13/2014
"Rockfish, canary",Range-wide,NA
"Rockfish, copper",Puget Sound DPS,NA
"Rockfish, quillback",Puget Sound DPS,NA
"Rockfish, yelloweye",Puget Sound/Georgia Basin DPS,11/13/2014
"Rockfish, yelloweye",Range-wide,NA
Salmon,West Coast Salmon FMP,NA
"Salmon, Atlantic",Gulf of Maine DPS,6/19/2009
"Salmon, Atlantic",Range-wide,NA
"Salmon, Chinook",California Coastal ESU,9/2/2005
"Salmon, Chinook",Central Valley fall/ late fall-run ESU,NA
"Salmon, Chinook",Central Valley spring-run ESU,9/2/2005
"Salmon, Chinook",Deschutes River summer/fall-run ESU,NA
"Salmon, Chinook",Lower Columbia River ESU,9/2/2005
"Salmon, Chinook",Mid-Columbia River spring-run ESU,NA
"Salmon, Chinook",Oregon Coast ESU,NA
"Salmon, Chinook",Puget Sound ESU,9/2/2005
"Salmon, Chinook",Range-wide,NA
"Salmon, Chinook",Sacramento River winter-run ESU,6/16/1993
"Salmon, Chinook",Snake River fall-run ESU,12/28/1993
"Salmon, Chinook",Snake River spring/summer-run ESU,12/28/1993
"Salmon, Chinook",Upper Columbia River spring-run ESU,9/2/2005
"Salmon, Chinook",Upper Columbia River summer/fall-run ESU,NA
"Salmon, Chinook",Upper Klamath - Trinity Rivers ESU,NA
"Salmon, Chinook",Upper Willamette River ESU,9/2/2005
"Salmon, Chinook",Washington Coast ESU,NA
"Salmon, chum",Columbia River ESU,9/2/2005
