"","","Adverse Mod, No Jeopardy","Jeopardy & Adverse Modification","Jeopardy, No Adverse Mod","No Effect","No Jeopardy, No Adverse Mod","No Response","Not Likely to Adversely Affect","Technical Assistance Provided","Withdrawn"
"",2466,11,126,23,0,1142,0,904,0,187
"Adverse Modification",0,6,44,0,0,3,0,1,0,0
"Jeopardy & Adverse Modification",0,0,577,0,0,0,0,0,0,0
"Jeopardy, No Adverse Mod",0,0,0,120,0,0,0,0,0,0
"May Affect",0,2,0,0,0,45,0,5,0,8
"May Affect - Likely to Adversely Affect",0,10,1,4,0,14407,0,69,0,19
"May Affect - Not Likely to Adversely Affect",0,1,1,10,0,237,0,594,0,20
"No Adverse Modification",0,2,1,16,0,1746,0,215,0,47
"No Effect",0,1,1,6,12,749,0,727,0,446
"No Response",0,0,0,0,0,0,27,0,0,0
"Technical Assistance Provided",0,0,0,0,0,0,0,0,8,0
"Withdrawn",0,0,0,0,0,0,0,0,0,1324
