,NMFS.Tracking.Number,Common.Name,Population.Name,Species Determination,Critical Habitat Determination,NEW Jeopardy,NEW Critical Habitat,,,,
1,950018,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,Jeopardy,Adverse Modification
7,AKR-2001-21,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,No Jeopardy,No Adverse Modification
8,AKR-2001-21,"Whale, fin",Northeast Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,Not Likely to Adversely Affect,Not Likely to Adversely Affect
9,AKR-2001-21,"Whale, humpback",Western North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,No Effect,No Effect
11,AKR-2002-1938,"Whale, fin",Northeast Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,Missing Biop,Missing Biop
12,AKR-2002-1938,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,No CH
13,AKR-2002-1938,"Whale, humpback",Central North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
27,AKR-2003-611,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
30,AKR-2004-2624,"Whale, humpback",Central North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
31,AKR-2004-2624,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
32,AKR-2004-2624,"Sea lion, Steller",Eastern US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
97,AKR-2006-1056,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
116,AKR-2006-6028,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
118,AKR-2006-764,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
131,AKR-2007-6854,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
132,AKR-2007-7109,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
134,AKR-2007-8488,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
140,AKR-2008-4550,"Whale, bowhead",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
141,AKR-2008-4550,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
142,AKR-2008-4550,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
143,AKR-2008-5708,"Sea lion, Steller",Western US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
156,AKR-2009-2523,"Whale, beluga",Cook Inlet,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
169,AKR-2009-7253,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
175,AKR-2010-3787,"Whale, fin",Northeast Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
176,AKR-2010-3787,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
177,AKR-2010-3787,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
181,AKR-2010-6087,"Whale, beluga",Cook Inlet,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
183,AKR-2010-6742,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
184,AKR-2010-6857,"Whale, beluga",Cook Inlet,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
204,AKR-2011-6545,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
208,AKR-2012-1550,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
209,AKR-2012-1550,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
210,AKR-2012-1550,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
212,AKR-2012-2419,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
694,FPR-2000-1023,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
695,FPR-2000-1026,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
703,FPR-2000-1031,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
704,FPR-2000-1031,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
705,FPR-2000-1031,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
706,FPR-2000-1031,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
707,FPR-2000-1031,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
708,FPR-2000-1031,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
709,FPR-2000-1031,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
710,FPR-2000-1031,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
711,FPR-2000-1031,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
